code,price,score,signal_strength,action_advice,volume_ratio,name
600769,16.0,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.54),1.33,祥龙电业
603101,11.06,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.66),1.4,汇嘉时代
600379,16.78,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.26),3.29,宝光股份
600884,16.65,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.28),1.55,杉杉股份
601001,19.33,100,极强 (主升浪起爆),激进买入/加仓 (突破位:19.13),1.2,晋控煤业
605006,11.69,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.51),0.89,山东玻纤
002591,8.36,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.27),1.38,恒大高新
000551,16.28,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.99),1.73,创元科技
603399,19.39,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.71),0.79,永杉锂业
603990,15.82,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.75),1.11,麦迪科技
000626,9.35,70,中等 (趋势形成),底仓试错 (突破位:9.20),1.45,远大控股
002348,11.13,70,中等 (趋势形成),底仓试错 (突破位:10.30),1.08,高乐股份
000546,7.72,70,中等 (趋势形成),底仓试错 (突破位:7.16),1.43,金圆股份
605122,14.72,70,中等 (趋势形成),底仓试错 (突破位:14.45),1.83,四方新材
002887,13.3,70,中等 (趋势形成),底仓试错 (突破位:13.26),1.0,绿茵生态
002494,6.21,70,中等 (趋势形成),底仓试错 (突破位:5.98),1.03,华斯股份
600546,14.06,70,中等 (趋势形成),底仓试错 (突破位:12.89),1.25,山煤国际
002798,7.93,70,中等 (趋势形成),底仓试错 (突破位:7.32),1.98,帝欧水华
002795,9.19,70,中等 (趋势形成),底仓试错 (突破位:8.86),2.1,永和智控
002763,9.41,70,中等 (趋势形成),底仓试错 (突破位:8.92),1.1,汇洁股份
002181,16.49,70,中等 (趋势形成),底仓试错 (突破位:14.45),0.84,粤 传 媒
000703,17.65,70,中等 (趋势形成),底仓试错 (突破位:17.20),1.23,恒逸石化
000007,15.51,70,中等 (趋势形成),底仓试错 (突破位:14.97),1.29,全新好
601339,9.29,70,中等 (趋势形成),底仓试错 (突破位:8.59),0.88,百隆东方
605336,16.68,70,中等 (趋势形成),底仓试错 (突破位:16.33),1.02,帅丰电器
