code,price,score,signal_strength,action_advice,volume_ratio,name
603601,15.49,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.64),0.95,再升科技
603017,16.32,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.97),0.94,中衡设计
600901,6.72,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.69),0.47,江苏金租
601002,6.03,100,极强 (主升浪起爆),激进买入/加仓 (突破位:5.79),1.62,晋亿实业
600158,11.99,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.95),0.7,中体产业
600110,9.22,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.81),1.15,诺德股份
000890,15.43,70,中等 (趋势形成),底仓试错 (突破位:14.27),0.34,法尔胜
600250,14.05,70,中等 (趋势形成),底仓试错 (突破位:13.00),1.32,南京商旅
002634,8.94,70,中等 (趋势形成),底仓试错 (突破位:8.04),0.98,棒杰股份
