code,price,score,signal_strength,action_advice,volume_ratio,name
603909,13.96,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.80),0.33,建发合诚
603335,6.7,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.64),0.41,迪生力
603458,12.4,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.26),0.29,勘设股份
000949,8.04,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.93),0.44,新乡化纤
002418,6.81,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.29),0.1,康盛股份
600817,12.77,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.76),0.29,宇通重工
002560,15.27,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.00),0.19,通达股份
002579,13.25,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.23),0.26,中京电子
605208,16.38,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.49),0.65,永茂泰
002297,19.46,70,中等 (趋势形成),底仓试错 (突破位:17.69),0.65,博云新材
002825,11.48,70,中等 (趋势形成),底仓试错 (突破位:11.40),0.2,纳尔股份
600156,10.19,70,中等 (趋势形成),底仓试错 (突破位:9.26),0.57,华升股份
601002,6.68,70,中等 (趋势形成),底仓试错 (突破位:6.26),0.47,晋亿实业
600590,17.42,70,中等 (趋势形成),底仓试错 (突破位:17.20),0.1,泰豪科技
002203,17.91,70,中等 (趋势形成),底仓试错 (突破位:17.39),0.57,海亮股份
600152,13.93,70,中等 (趋势形成),底仓试错 (突破位:13.90),0.32,维科技术
600707,8.57,70,中等 (趋势形成),底仓试错 (突破位:7.79),0.41,彩虹股份
002033,11.02,70,中等 (趋势形成),底仓试错 (突破位:10.93),0.86,丽江股份
