code,price,score,signal_strength,action_advice,volume_ratio,name
600769,15.85,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.54),0.53,祥龙电业
600869,17.38,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.23),0.46,远东股份
603399,16.03,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.71),0.5,永杉锂业
603101,10.8,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.66),0.69,汇嘉时代
600546,13.55,70,中等 (趋势形成),底仓试错 (突破位:12.89),0.61,山煤国际
002798,7.59,70,中等 (趋势形成),底仓试错 (突破位:7.32),1.04,帝欧水华
000626,9.23,70,中等 (趋势形成),底仓试错 (突破位:9.20),0.86,远大控股
605336,17.17,70,中等 (趋势形成),底仓试错 (突破位:16.33),0.51,帅丰电器
000155,18.32,70,中等 (趋势形成),底仓试错 (突破位:18.20),0.41,川能动力
002774,12.6,70,中等 (趋势形成),底仓试错 (突破位:12.34),1.49,快意电梯
600152,15.69,70,中等 (趋势形成),底仓试错 (突破位:15.29),0.47,维科技术
600830,10.01,70,中等 (趋势形成),底仓试错 (突破位:9.97),3.72,香溢融通
