代码,当前价,评分,历史回测胜率,信号强度,操作建议,名称
600135,11.34,100,100.0%,极强,【重点加仓】：回踩到位，关注次日放量上攻,乐凯胶片
600172,6.12,80,100.0%,标准,【小注试错】：回踩到位，关注次日放量上攻,黄河旋风
