code,price,score,signal_strength,action_advice,volume_ratio,name
002585,11.82,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.80),1.74,双星新材
002806,19.78,100,极强 (主升浪起爆),激进买入/加仓 (突破位:18.49),3.33,华锋股份
600063,8.22,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.06),4.02,皖维高新
603500,12.23,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.73),1.54,祥和实业
002125,16.98,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.12),2.4,湘潭电化
000700,17.29,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.36),1.53,模塑科技
605018,17.62,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.98),2.5,长华集团
600596,14.41,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.76),2.54,新安股份
002137,10.35,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.08),4.14,实益达
600667,16.15,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.60),1.43,太极实业
002171,12.85,70,中等 (趋势形成),底仓试错 (突破位:12.70),2.24,楚江新材
603997,14.68,70,中等 (趋势形成),底仓试错 (突破位:14.46),1.98,继峰股份
600222,8.7,70,中等 (趋势形成),底仓试错 (突破位:8.36),1.47,太龙药业
603386,17.72,70,中等 (趋势形成),底仓试错 (突破位:17.25),1.59,骏亚科技
002527,15.43,70,中等 (趋势形成),底仓试错 (突破位:14.94),2.27,新时达
