code,price,score,signal_strength,action_advice,volume_ratio,name
603990,19.63,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.30),2.47,麦迪科技
000600,12.55,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.15),2.02,建投能源
600226,6.39,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.14),2.33,亨通股份
603730,12.88,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.28),1.97,岱美股份
002579,17.15,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.98),3.41,中京电子
002806,18.49,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.79),3.41,华锋股份
605006,18.32,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.70),1.71,山东玻纤
600888,11.58,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.31),4.33,新疆众和
002406,8.85,70,中等 (趋势形成),底仓试错 (突破位:8.63),2.2,远东传动
002585,10.23,70,中等 (趋势形成),底仓试错 (突破位:9.29),2.73,双星新材
600172,14.08,70,中等 (趋势形成),底仓试错 (突破位:12.48),2.0,黄河旋风
002706,14.65,70,中等 (趋势形成),底仓试错 (突破位:13.88),1.23,良信股份
002669,15.72,70,中等 (趋势形成),底仓试错 (突破位:15.40),3.47,康达新材
600578,9.38,70,中等 (趋势形成),底仓试错 (突破位:8.90),2.39,京能电力
600730,14.75,70,中等 (趋势形成),底仓试错 (突破位:14.18),1.31,中国高科
605055,14.4,70,中等 (趋势形成),底仓试错 (突破位:14.20),1.32,迎丰股份
600969,11.83,70,中等 (趋势形成),底仓试错 (突破位:11.64),2.14,郴电国际
600110,12.66,70,中等 (趋势形成),底仓试错 (突破位:11.99),1.59,诺德股份
