code,price,score,signal_strength,action_advice,volume_ratio,name
002617,9.46,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.42),3.63,露笑科技
000554,7.4,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.32),1.17,泰山石油
603730,10.75,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.54),1.28,岱美股份
002376,8.07,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.03),1.17,新北洋
600969,11.59,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.49),0.3,郴电国际
600382,8.48,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.02),0.82,广东明珠
600623,9.53,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.01),2.55,华谊集团
603599,12.99,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.90),1.6,广信股份
002588,10.8,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.55),1.71,史丹利
002560,11.34,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.30),0.35,通达股份
600409,7.06,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.99),0.95,三友化工
600348,9.28,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.03),0.53,华阳股份
601700,6.73,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.38),0.68,风范股份
601677,16.29,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.92),1.45,明泰铝业
603808,10.0,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.73),1.0,歌力思
603798,17.93,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.88),0.61,康普顿
603577,11.51,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.38),0.36,汇金通
600955,18.72,100,极强 (主升浪起爆),激进买入/加仓 (突破位:18.38),0.84,维远股份
603788,17.16,70,中等 (趋势形成),底仓试错 (突破位:16.92),1.12,宁波高发
002448,14.26,70,中等 (趋势形成),底仓试错 (突破位:14.14),1.34,中原内配
002208,15.85,70,中等 (趋势形成),底仓试错 (突破位:14.54),0.99,合肥城建
002546,9.09,70,中等 (趋势形成),底仓试错 (突破位:8.61),0.99,新联电子
603166,17.7,70,中等 (趋势形成),底仓试错 (突破位:17.18),1.18,福达股份
002010,6.8,70,中等 (趋势形成),底仓试错 (突破位:6.72),1.39,传化智联
600302,13.31,70,中等 (趋势形成),底仓试错 (突破位:12.77),0.5,标准股份
600219,6.53,70,中等 (趋势形成),底仓试错 (突破位:6.16),0.99,南山铝业
603058,10.97,70,中等 (趋势形成),底仓试错 (突破位:10.56),0.77,永吉股份
002358,7.1,70,中等 (趋势形成),底仓试错 (突破位:6.45),0.1,森源电气
603966,14.2,70,中等 (趋势形成),底仓试错 (突破位:14.18),0.35,法兰泰克
600189,8.11,70,中等 (趋势形成),底仓试错 (突破位:7.88),0.55,泉阳泉
000636,19.92,70,中等 (趋势形成),底仓试错 (突破位:19.33),0.68,风华高科
600966,7.17,70,中等 (趋势形成),底仓试错 (突破位:7.04),0.97,博汇纸业
002478,9.48,70,中等 (趋势形成),底仓试错 (突破位:9.46),0.32,常宝股份
001239,17.08,70,中等 (趋势形成),底仓试错 (突破位:16.95),0.32,永达股份
