code,price,score,signal_strength,action_advice,volume_ratio,name
603980,6.44,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.09),138.6,吉华集团
603916,13.64,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.13),76.43,苏博特
000758,9.0,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.24),105.86,中色股份
601118,7.14,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.78),56.01,海南橡胶
000510,19.77,100,极强 (主升浪起爆),激进买入/加仓 (突破位:19.28),40.56,新金路
002538,7.67,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.26),50.34,司尔特
600059,10.89,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.98),102.06,古越龙山
601609,12.58,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.30),75.44,金田股份
002185,15.24,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.95),119.43,华天科技
001979,10.88,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.21),31.01,招商蛇口
600768,16.94,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.79),59.63,宁波富邦
600987,8.02,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.48),102.57,航民股份
002716,19.24,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.45),55.45,湖南白银
603808,10.17,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.15),21.9,歌力思
002258,17.75,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.50),33.85,利尔化学
600598,16.87,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.99),73.21,北大荒
002165,10.8,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.43),127.99,红 宝 丽
600313,7.33,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.11),101.97,农发种业
600490,11.08,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.74),72.38,鹏欣资源
600173,9.04,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.59),107.14,卧龙新能
002645,17.3,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.86),37.85,华宏科技
601226,10.49,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.20),132.71,华电科工
600219,7.81,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.91),47.36,南山铝业
603727,17.27,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.18),57.01,博迈科
600916,12.27,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.22),157.85,中国黄金
002996,8.86,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.74),76.63,顺博合金
600841,8.94,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.55),118.92,动力新科
603001,10.44,100,极强 (主升浪起爆),激进买入/加仓 (突破位:10.32),26.58,奥康国际
002637,14.59,100,极强 (主升浪起爆),激进买入/加仓 (突破位:12.86),57.74,赞宇科技
603515,19.67,100,极强 (主升浪起爆),激进买入/加仓 (突破位:19.62),53.77,欧普照明
002493,14.59,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.25),38.17,荣盛石化
601636,7.2,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.00),34.07,旗滨集团
601555,9.61,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.60),37.32,东吴证券
