代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600199,金种子酒,6.27,80.92%,3.95%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002520,日发精机,6.05,81.69%,3.09%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002910,庄园牧场,9.58,71.28%,1.49%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000301,东方盛虹,11.4,72.16%,1.76%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601608,中信重工,5.54,72.05%,2.0%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002029,七 匹 狼,7.9,75.89%,2.7%,65,强烈建议：试错买入,高(超跌+激活)
002584,西陇科学,8.03,73.92%,4.82%,65,强烈建议：试错买入,高(超跌+激活)
603366,日出东方,6.33,72.39%,4.77%,65,强烈建议：试错买入,高(超跌+激活)
600530,交大昂立,5.13,70.69%,3.3%,65,强烈建议：试错买入,高(超跌+激活)
000524,岭南控股,8.88,72.82%,3.57%,65,强烈建议：试错买入,高(超跌+激活)
603012,创力集团,7.83,71.95%,2.54%,65,强烈建议：试错买入,高(超跌+激活)
600241,时代万恒,6.65,70.59%,3.6%,65,强烈建议：试错买入,高(超跌+激活)
000829,天音控股,7.62,72.51%,2.38%,65,强烈建议：试错买入,高(超跌+激活)
