代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600576,祥源文旅,5.73,83.3%,1.77%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600199,金种子酒,6.15,81.29%,2.96%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002184,海得控制,9.23,81.59%,4.26%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000524,岭南控股,9.68,70.37%,1.98%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002029,七 匹 狼,7.76,76.31%,1.9%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603366,日出东方,6.49,71.7%,0.7%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
605300,佳禾食品,8.69,73.58%,3.96%,65,强烈建议：试错买入,高(超跌+激活)
002584,西陇科学,9.12,70.38%,3.6%,65,强烈建议：试错买入,高(超跌+激活)
600241,时代万恒,6.51,71.21%,3.4%,65,强烈建议：试错买入,高(超跌+激活)
002370,亚太药业,5.23,76.33%,3.29%,65,强烈建议：试错买入,高(超跌+激活)
