代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600199,金种子酒,6.46,80.35%,3.25%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002798,帝欧水华,5.17,88.44%,4.33%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600576,祥源文旅,5.81,83.07%,2.1%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002184,海得控制,9.34,81.37%,4.97%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002584,西陇科学,8.76,71.55%,3.25%,65,强烈建议：试错买入,高(超跌+激活)
605300,佳禾食品,8.82,73.18%,3.78%,65,强烈建议：试错买入,高(超跌+激活)
603366,日出东方,6.6,71.22%,2.33%,65,强烈建议：试错买入,高(超跌+激活)
002907,华森制药,14.18,70.12%,3.51%,65,强烈建议：试错买入,高(超跌+激活)
603012,创力集团,8.26,70.4%,3.24%,65,强烈建议：试错买入,高(超跌+激活)
002029,七 匹 狼,8.0,75.58%,2.05%,65,强烈建议：试错买入,高(超跌+激活)
002520,日发精机,6.72,79.66%,2.1%,65,强烈建议：试错买入,高(超跌+激活)
600241,时代万恒,6.6,70.81%,2.83%,65,强烈建议：试错买入,高(超跌+激活)
000829,天音控股,7.93,71.39%,3.61%,65,强烈建议：试错买入,高(超跌+激活)
002370,亚太药业,5.44,75.38%,3.48%,65,强烈建议：试错买入,高(超跌+激活)
601608,中信重工,5.04,74.57%,4.31%,65,强烈建议：试错买入,高(超跌+激活)
