代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
002037,保利联合,8.9,82.93%,1.78%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601002,晋亿实业,5.82,81.23%,1.67%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002188,中天服务,6.83,86.76%,4.4%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600682,南京新百,7.44,83.72%,3.73%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600748,上实发展,5.03,83.43%,2.0%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000892,欢瑞世纪,6.68,72.0%,1.3%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603777,来伊份,14.03,75.77%,1.97%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
605388,均瑶健康,6.69,70.17%,1.3%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600359,新农开发,7.06,72.64%,2.11%,65,强烈建议：试错买入,高(超跌+激活)
000546,金圆股份,6.4,71.05%,3.21%,65,强烈建议：试错买入,高(超跌+激活)
600158,中体产业,11.9,70.18%,4.61%,65,强烈建议：试错买入,高(超跌+激活)
000863,三湘印象,5.26,72.46%,2.81%,65,强烈建议：试错买入,高(超跌+激活)
603808,歌力思,10.33,76.86%,4.65%,65,强烈建议：试错买入,高(超跌+激活)
600643,爱建集团,5.28,76.18%,3.03%,65,强烈建议：试错买入,高(超跌+激活)
