代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
002188,中天服务,6.5,87.4%,1.17%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000626,远大控股,8.38,87.57%,3.99%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002037,保利联合,8.39,83.91%,3.14%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002631,德尔未来,7.37,81.78%,4.9%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603808,歌力思,10.2,77.15%,1.53%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600158,中体产业,10.95,72.56%,2.06%,65,强烈建议：试错买入,高(超跌+激活)
603815,交建股份,6.57,79.04%,3.8%,65,强烈建议：试错买入,高(超跌+激活)
000892,欢瑞世纪,6.33,73.47%,3.6%,65,强烈建议：试错买入,高(超跌+激活)
002363,隆基机械,8.52,76.9%,4.77%,65,强烈建议：试错买入,高(超跌+激活)
600703,三安光电,13.34,70.17%,3.95%,65,强烈建议：试错买入,高(超跌+激活)
002427,尤夫股份,6.46,79.62%,2.05%,65,强烈建议：试错买入,高(超跌+激活)
