code,price,score,signal_strength,action_advice,volume_ratio,name
603218,16.65,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.59),3.07,日月股份
002348,8.71,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.65),1.02,高乐股份
600241,9.27,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.15),1.88,时代万恒
000890,11.09,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.58),1.24,法尔胜
600773,18.25,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.42),2.12,西藏城投
000922,16.2,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.08),1.42,佳电股份
000967,9.0,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.55),2.25,盈峰环境
000600,10.19,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.72),2.19,建投能源
600722,16.94,70,中等 (趋势形成),底仓试错 (突破位:13.53),1.76,金牛化工
603158,12.8,70,中等 (趋势形成),底仓试错 (突破位:11.35),3.86,腾龙股份
002322,14.36,70,中等 (趋势形成),底仓试错 (突破位:14.16),2.06,理工能科
600769,14.28,70,中等 (趋势形成),底仓试错 (突破位:13.98),3.75,祥龙电业
601898,18.82,70,中等 (趋势形成),底仓试错 (突破位:18.20),1.61,中煤能源
001338,13.76,70,中等 (趋势形成),底仓试错 (突破位:13.11),1.84,永顺泰
002631,7.95,70,中等 (趋势形成),底仓试错 (突破位:6.63),3.13,德尔未来
002053,12.64,70,中等 (趋势形成),底仓试错 (突破位:12.49),3.55,云南能投
600603,8.05,70,中等 (趋势形成),底仓试错 (突破位:7.53),2.78,广汇物流
603098,16.91,70,中等 (趋势形成),底仓试错 (突破位:16.50),2.53,森特股份
603421,9.38,70,中等 (趋势形成),底仓试错 (突破位:8.78),3.01,鼎信通讯
603588,15.23,70,中等 (趋势形成),底仓试错 (突破位:13.70),1.93,高能环境
000973,17.12,70,中等 (趋势形成),底仓试错 (突破位:16.11),1.84,佛塑科技
600703,18.14,70,中等 (趋势形成),底仓试错 (突破位:17.37),2.24,三安光电
600172,10.32,70,中等 (趋势形成),底仓试错 (突破位:10.21),1.18,黄河旋风
603803,13.75,70,中等 (趋势形成),底仓试错 (突破位:12.34),5.47,瑞斯康达
601001,18.15,70,中等 (趋势形成),底仓试错 (突破位:17.84),1.34,晋控煤业
002730,19.2,70,中等 (趋势形成),底仓试错 (突破位:18.19),3.02,电光科技
600063,7.74,70,中等 (趋势形成),底仓试错 (突破位:7.52),2.19,皖维高新
002531,12.42,70,中等 (趋势形成),底仓试错 (突破位:10.95),1.19,天顺风能
000155,15.16,70,中等 (趋势形成),底仓试错 (突破位:14.90),1.88,川能动力
601218,6.94,70,中等 (趋势形成),底仓试错 (突破位:5.87),3.16,吉鑫科技
