code,price,score,signal_strength,action_advice,volume_ratio,name
603218,14.87,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.59),0.98,日月股份
000600,9.73,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.72),0.75,建投能源
002248,15.58,100,极强 (主升浪起爆),激进买入/加仓 (突破位:14.87),0.53,华东数控
002348,8.89,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.65),0.68,高乐股份
600590,16.19,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.18),0.78,泰豪科技
600241,9.28,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.15),1.18,时代万恒
600773,17.28,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.42),1.15,西藏城投
603269,17.98,100,极强 (主升浪起爆),激进买入/加仓 (突破位:16.94),1.53,海鸥股份
000007,14.15,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.73),0.64,全新好
600163,6.97,100,极强 (主升浪起爆),激进买入/加仓 (突破位:6.83),1.01,中闽能源
000967,9.49,100,极强 (主升浪起爆),激进买入/加仓 (突破位:8.55),1.43,盈峰环境
002706,12.89,70,中等 (趋势形成),底仓试错 (突破位:12.46),1.71,良信股份
600722,14.0,70,中等 (趋势形成),底仓试错 (突破位:13.53),1.03,金牛化工
603158,12.25,70,中等 (趋势形成),底仓试错 (突破位:11.35),1.9,腾龙股份
600769,15.02,70,中等 (趋势形成),底仓试错 (突破位:13.98),2.01,祥龙电业
002322,14.47,70,中等 (趋势形成),底仓试错 (突破位:14.16),0.91,理工能科
002350,15.54,70,中等 (趋势形成),底仓试错 (突破位:14.62),1.12,北京科锐
603985,18.35,70,中等 (趋势形成),底仓试错 (突破位:18.34),0.95,恒润股份
002053,12.7,70,中等 (趋势形成),底仓试错 (突破位:12.49),2.33,云南能投
603165,15.57,70,中等 (趋势形成),底仓试错 (突破位:15.54),1.86,荣晟环保
600470,8.66,70,中等 (趋势形成),底仓试错 (突破位:8.58),1.66,六国化工
000862,8.2,70,中等 (趋势形成),底仓试错 (突破位:7.93),1.82,银星能源
002198,8.07,70,中等 (趋势形成),底仓试错 (突破位:7.97),1.14,嘉应制药
002631,7.32,70,中等 (趋势形成),底仓试错 (突破位:6.63),1.64,德尔未来
003025,15.37,70,中等 (趋势形成),底仓试错 (突破位:15.35),0.91,思进智能
603588,15.13,70,中等 (趋势形成),底仓试错 (突破位:13.70),1.08,高能环境
603421,10.13,70,中等 (趋势形成),底仓试错 (突破位:8.78),1.51,鼎信通讯
600158,11.15,70,中等 (趋势形成),底仓试错 (突破位:11.10),0.92,中体产业
600172,11.09,70,中等 (趋势形成),底仓试错 (突破位:10.21),0.63,黄河旋风
002887,12.18,70,中等 (趋势形成),底仓试错 (突破位:11.96),0.41,绿茵生态
002531,11.05,70,中等 (趋势形成),底仓试错 (突破位:10.95),0.54,天顺风能
601218,6.03,70,中等 (趋势形成),底仓试错 (突破位:5.87),1.05,吉鑫科技
600268,17.29,70,中等 (趋势形成),底仓试错 (突破位:15.50),1.82,国电南自
