code,price,score,signal_strength,action_advice,volume_ratio,name
601898,16.55,70,中等 (趋势形成),底仓试错 (突破位:15.35),0.06,中煤能源
002493,16.02,70,中等 (趋势形成),底仓试错 (突破位:15.79),0.03,荣盛石化
002096,14.59,70,中等 (趋势形成),底仓试错 (突破位:14.58),0.03,易普力
002491,11.12,70,中等 (趋势形成),底仓试错 (突破位:10.98),0.04,通鼎互联
600028,7.11,70,中等 (趋势形成),底仓试错 (突破位:6.70),0.09,中国石化
000890,8.43,70,中等 (趋势形成),底仓试错 (突破位:8.02),0.18,法尔胜
000039,13.69,70,中等 (趋势形成),底仓试错 (突破位:13.62),0.05,中集集团
000932,6.79,70,中等 (趋势形成),底仓试错 (突破位:6.78),0.02,华菱钢铁
002795,8.62,70,中等 (趋势形成),底仓试错 (突破位:8.20),0.06,永和智控
603871,15.8,70,中等 (趋势形成),底仓试错 (突破位:15.75),0.02,嘉友国际
002040,11.97,70,中等 (趋势形成),底仓试错 (突破位:11.50),0.03,南 京 港
601798,10.01,70,中等 (趋势形成),底仓试错 (突破位:9.97),0.05,蓝科高新
600236,9.78,70,中等 (趋势形成),底仓试错 (突破位:9.14),0.07,桂冠电力
000159,7.78,70,中等 (趋势形成),底仓试错 (突破位:7.53),0.06,国际实业
603162,16.18,70,中等 (趋势形成),底仓试错 (突破位:15.81),0.06,海通发展
601022,10.22,70,中等 (趋势形成),底仓试错 (突破位:10.16),0.07,宁波远洋
600546,12.05,70,中等 (趋势形成),底仓试错 (突破位:11.80),0.05,山煤国际
605366,9.5,70,中等 (趋势形成),底仓试错 (突破位:9.00),0.05,宏柏新材
603588,13.19,70,中等 (趋势形成),底仓试错 (突破位:13.13),0.03,高能环境
601872,17.86,70,中等 (趋势形成),底仓试错 (突破位:16.41),0.08,招商轮船
600714,19.76,70,中等 (趋势形成),底仓试错 (突破位:18.30),0.0,金瑞矿业
600188,18.85,70,中等 (趋势形成),底仓试错 (突破位:17.97),0.05,兖矿能源
