code,price,score,signal_strength,action_advice,volume_ratio,name
603687,15.0,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.39),6.3,大胜达
600241,9.71,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.51),1.41,时代万恒
603098,18.49,100,极强 (主升浪起爆),激进买入/加仓 (突破位:18.37),1.18,森特股份
603105,13.89,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.88),2.3,芯能科技
603628,16.65,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.70),1.71,清源股份
605299,17.74,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.29),1.47,舒华体育
600468,9.97,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.44),1.1,百利电气
603803,15.4,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.29),1.85,瑞斯康达
601218,8.1,100,极强 (主升浪起爆),激进买入/加仓 (突破位:7.99),1.41,吉鑫科技
000862,8.84,70,中等 (趋势形成),底仓试错 (突破位:8.44),1.38,银星能源
002053,13.81,70,中等 (趋势形成),底仓试错 (突破位:13.25),1.41,云南能投
000617,10.83,70,中等 (趋势形成),底仓试错 (突破位:10.71),1.42,中油资本
605366,11.21,70,中等 (趋势形成),底仓试错 (突破位:11.20),0.61,宏柏新材
600163,7.54,70,中等 (趋势形成),底仓试错 (突破位:7.20),1.17,中闽能源
