code,price,score,signal_strength,action_advice,volume_ratio,name
605299,19.25,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.29),3.32,舒华体育
600773,19.7,100,极强 (主升浪起爆),激进买入/加仓 (突破位:19.00),1.42,西藏城投
603628,16.35,100,极强 (主升浪起爆),激进买入/加仓 (突破位:15.70),2.74,清源股份
600241,9.73,100,极强 (主升浪起爆),激进买入/加仓 (突破位:9.51),2.15,时代万恒
603105,12.48,100,极强 (主升浪起爆),激进买入/加仓 (突破位:11.88),3.25,芯能科技
603687,15.63,100,极强 (主升浪起爆),激进买入/加仓 (突破位:13.39),9.49,大胜达
000973,19.59,100,极强 (主升浪起爆),激进买入/加仓 (突破位:17.80),1.4,佛塑科技
000155,16.16,70,中等 (趋势形成),底仓试错 (突破位:15.87),1.27,川能动力
603977,17.0,70,中等 (趋势形成),底仓试错 (突破位:16.99),1.28,国泰集团
600163,7.83,70,中等 (趋势形成),底仓试错 (突破位:7.20),2.42,中闽能源
600719,7.26,70,中等 (趋势形成),底仓试错 (突破位:7.24),2.92,大连热电
002053,13.67,70,中等 (趋势形成),底仓试错 (突破位:13.25),2.41,云南能投
000993,16.27,70,中等 (趋势形成),底仓试错 (突破位:15.91),1.74,闽东电力
600250,12.91,70,中等 (趋势形成),底仓试错 (突破位:12.55),4.31,南京商旅
600429,5.89,70,中等 (趋势形成),底仓试错 (突破位:5.85),1.11,三元股份
605366,11.56,70,中等 (趋势形成),底仓试错 (突破位:11.20),1.18,宏柏新材
