代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600682,南京新百,5.9,87.09%,0.39%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600198,大唐电信,9.01,83.62%,4.96%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002769,普路通,7.3,82.96%,4.91%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002631,德尔未来,7.79,80.75%,4.53%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603528,多伦科技,6.51,82.61%,4.02%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600576,祥源文旅,5.83,83.01%,3.5%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002161,远 望 谷,6.09,81.43%,4.89%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603313,梦百合,5.56,85.11%,3.82%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600721,百花医药,7.11,72.84%,1.65%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002907,华森制药,13.3,71.97%,1.6%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600843,上工申贝,7.56,73.25%,1.76%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002676,顺威股份,5.16,74.3%,4.21%,65,强烈建议：试错买入,高(超跌+激活)
600579,中化装备,7.37,70.52%,2.78%,65,强烈建议：试错买入,高(超跌+激活)
000050,深天马Ａ,8.94,75.65%,2.74%,65,强烈建议：试错买入,高(超跌+激活)
600058,五矿发展,10.28,78.07%,3.75%,65,强烈建议：试错买入,高(超跌+激活)
002215,诺 普 信,9.18,70.88%,4.3%,65,强烈建议：试错买入,高(超跌+激活)
002583,海能达,8.7,71.95%,3.73%,65,强烈建议：试错买入,高(超跌+激活)
