代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600682,南京新百,5.77,87.38%,0.45%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600576,祥源文旅,5.65,83.54%,1.92%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600198,大唐电信,9.08,83.49%,4.53%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603313,梦百合,5.4,85.53%,3.43%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603528,多伦科技,6.46,82.75%,4.48%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002161,远 望 谷,6.01,81.68%,4.47%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600843,上工申贝,7.8,72.4%,1.01%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600721,百花医药,6.83,73.91%,3.95%,65,强烈建议：试错买入,高(超跌+激活)
600579,中化装备,7.44,70.24%,4.94%,65,强烈建议：试错买入,高(超跌+激活)
002907,华森制药,13.09,72.41%,2.61%,65,强烈建议：试错买入,高(超跌+激活)
600058,五矿发展,11.31,75.87%,4.83%,65,强烈建议：试错买入,高(超跌+激活)
002215,诺 普 信,9.4,70.18%,3.89%,65,强烈建议：试错买入,高(超跌+激活)
002583,海能达,8.65,72.11%,2.93%,65,强烈建议：试错买入,高(超跌+激活)
