代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600576,祥源文旅,6.18,81.99%,1.99%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600682,南京新百,5.83,87.25%,1.07%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002279,久其软件,6.86,80.18%,1.39%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002520,日发精机,6.41,80.6%,4.22%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002769,普路通,7.96,81.42%,3.94%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600198,大唐电信,9.19,83.29%,3.81%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600588,用友网络,10.0,81.48%,4.55%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600579,中化装备,6.61,73.56%,1.76%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600679,上海凤凰,9.77,78.74%,1.46%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600721,百花医药,7.77,70.32%,3.62%,65,强烈建议：试错买入,高(超跌+激活)
002676,顺威股份,5.63,71.96%,4.43%,65,强烈建议：试错买入,高(超跌+激活)
002584,西陇科学,7.93,74.24%,3.17%,65,强烈建议：试错买入,高(超跌+激活)
603808,歌力思,9.11,79.59%,2.93%,65,强烈建议：试错买入,高(超跌+激活)
600058,五矿发展,10.3,78.03%,3.88%,65,强烈建议：试错买入,高(超跌+激活)
