代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
002459,晶澳科技,8.69,85.25%,1.09%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600682,南京新百,5.76,87.4%,0.76%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600576,祥源文旅,5.99,82.55%,2.37%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002631,德尔未来,7.76,80.82%,3.79%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002769,普路通,7.43,82.66%,4.36%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601636,旗滨集团,7.88,71.36%,1.85%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600579,中化装备,6.82,72.72%,0.95%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002676,顺威股份,5.68,71.71%,1.74%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603648,畅联股份,8.68,72.48%,1.68%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600493,凤竹纺织,5.95,77.17%,1.89%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002724,海洋王,5.29,79.92%,1.75%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002584,西陇科学,8.5,72.39%,4.42%,65,强烈建议：试错买入,高(超跌+激活)
600721,百花医药,7.36,71.89%,2.78%,65,强烈建议：试错买入,高(超跌+激活)
002520,日发精机,6.93,79.03%,4.72%,65,强烈建议：试错买入,高(超跌+激活)
600843,上工申贝,8.09,71.37%,4.92%,65,强烈建议：试错买入,高(超跌+激活)
600058,五矿发展,10.57,77.45%,3.76%,65,强烈建议：试错买入,高(超跌+激活)
000590,启迪药业,9.27,74.13%,4.41%,65,强烈建议：试错买入,高(超跌+激活)
