代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
603421,鼎信通讯,7.95,81.8%,4.56%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002678,珠江钢琴,5.63,74.78%,1.0%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601600,中国铝业,14.6,75.61%,0.71%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000860,顺鑫农业,15.9,79.8%,0.3%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
003039,顺控发展,16.28,73.81%,2.61%,65,强烈建议：试错买入,高(超跌+激活)
002614,奥佳华,7.5,71.26%,4.12%,65,强烈建议：试错买入,高(超跌+激活)
002780,三夫户外,14.6,76.83%,3.62%,65,强烈建议：试错买入,高(超跌+激活)
002187,广百股份,7.99,71.36%,2.18%,65,强烈建议：试错买入,高(超跌+激活)
002455,百川股份,7.93,70.64%,3.06%,65,强烈建议：试错买入,高(超跌+激活)
600655,豫园股份,5.91,74.39%,4.6%,65,强烈建议：试错买入,高(超跌+激活)
002585,双星新材,7.62,74.44%,4.53%,65,强烈建议：试错买入,高(超跌+激活)
601012,隆基绿能,18.77,74.3%,3.32%,65,强烈建议：试错买入,高(超跌+激活)
002646,天佑德酒,9.81,77.4%,2.33%,65,强烈建议：试错买入,高(超跌+激活)
601366,利群股份,5.04,74.35%,2.85%,65,强烈建议：试错买入,高(超跌+激活)
002724,海洋王,7.51,71.5%,3.89%,65,强烈建议：试错买入,高(超跌+激活)
605136,丽人丽妆,12.18,77.79%,4.97%,65,强烈建议：试错买入,高(超跌+激活)
601968,宝钢包装,5.99,70.94%,4.98%,65,强烈建议：试错买入,高(超跌+激活)
002799,环球印务,9.32,73.13%,2.28%,65,强烈建议：试错买入,高(超跌+激活)
002331,皖通科技,9.82,78.93%,4.44%,65,强烈建议：试错买入,高(超跌+激活)
