代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
000890,法尔胜,5.36,80.15%,0.63%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603001,奥康国际,9.41,83.07%,1.01%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600784,鲁银投资,7.2,81.72%,3.77%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002277,友阿股份,7.68,81.71%,4.34%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600586,金晶科技,5.99,85.3%,2.38%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600611,大众交通,5.93,98.53%,4.26%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002286,保龄宝,9.82,80.2%,3.07%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002836,新宏泽,16.26,81.8%,4.43%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600172,黄河旋风,5.95,80.66%,2.42%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600858,银座股份,7.28,84.51%,2.37%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600618,氯碱化工,13.35,91.1%,3.94%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600620,天宸股份,7.03,97.17%,3.51%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002187,广百股份,9.06,81.32%,3.84%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002585,双星新材,7.74,86.07%,3.96%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002795,永和智控,7.15,92.55%,4.4%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603023,威帝股份,5.78,92.49%,2.3%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002235,安妮股份,10.27,78.87%,1.39%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000635,英 力 特,10.13,70.88%,4.44%,65,强烈建议：试错买入,高(超跌+激活)
600965,福成股份,6.33,71.87%,4.03%,65,强烈建议：试错买入,高(超跌+激活)
600707,彩虹股份,6.88,71.18%,3.8%,65,强烈建议：试错买入,高(超跌+激活)
600841,动力新科,6.86,73.65%,3.4%,65,强烈建议：试错买入,高(超跌+激活)
600694,大商股份,19.39,73.44%,3.91%,65,强烈建议：试错买入,高(超跌+激活)
603303,得邦照明,14.13,70.27%,4.38%,65,强烈建议：试错买入,高(超跌+激活)
002319,乐通股份,12.93,71.19%,2.93%,65,强烈建议：试错买入,高(超跌+激活)
000159,国际实业,6.38,78.66%,4.98%,65,强烈建议：试错买入,高(超跌+激活)
002539,云图控股,13.24,74.34%,2.25%,65,强烈建议：试错买入,高(超跌+激活)
002103,广博股份,9.79,78.28%,4.61%,65,强烈建议：试错买入,高(超跌+激活)
601968,宝钢包装,6.14,71.09%,2.39%,65,强烈建议：试错买入,高(超跌+激活)
603617,君禾股份,7.96,75.73%,3.06%,65,强烈建议：试错买入,高(超跌+激活)
002394,联发股份,15.11,76.75%,4.93%,65,强烈建议：试错买入,高(超跌+激活)
600703,三安光电,15.66,79.92%,4.31%,65,强烈建议：试错买入,高(超跌+激活)
