代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600586,金晶科技,6.68,83.6%,1.62%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002614,奥佳华,7.75,84.35%,2.5%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002836,新宏泽,16.2,81.87%,2.61%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002780,三夫户外,16.72,86.4%,4.75%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002283,天润工业,7.19,81.03%,3.91%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600403,大有能源,7.3,81.24%,3.13%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002799,环球印务,9.45,89.27%,3.15%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002584,西陇科学,9.88,87.23%,3.73%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601012,隆基绿能,19.35,84.6%,2.7%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000565,渝三峡Ａ,8.8,84.91%,4.78%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603421,鼎信通讯,7.85,87.38%,2.16%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000890,法尔胜,5.52,79.56%,1.98%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002591,恒大高新,7.54,70.11%,1.37%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600732,爱旭股份,14.74,71.22%,0.81%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000407,胜利股份,5.35,73.38%,0.72%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002679,福建金森,13.15,79.09%,1.72%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603038,华立股份,17.87,75.35%,4.01%,65,强烈建议：试错买入,高(超跌+激活)
600965,福成股份,6.26,72.18%,2.57%,65,强烈建议：试错买入,高(超跌+激活)
002890,弘宇股份,16.2,71.45%,3.26%,65,强烈建议：试错买入,高(超跌+激活)
600246,万通发展,14.03,71.37%,3.43%,65,强烈建议：试错买入,高(超跌+激活)
000917,电广传媒,11.86,73.16%,4.05%,65,强烈建议：试错买入,高(超跌+激活)
600694,大商股份,19.24,73.65%,3.25%,65,强烈建议：试错买入,高(超跌+激活)
000159,国际实业,6.56,78.06%,4.79%,65,强烈建议：试错买入,高(超跌+激活)
600330,天通股份,13.64,70.78%,3.98%,65,强烈建议：试错买入,高(超跌+激活)
603339,四方科技,14.39,76.9%,4.26%,65,强烈建议：试错买入,高(超跌+激活)
000990,诚志股份,9.21,77.73%,4.12%,65,强烈建议：试错买入,高(超跌+激活)
000048,京基智农,18.5,77.98%,2.36%,65,强烈建议：试错买入,高(超跌+激活)
002103,广博股份,9.96,77.91%,4.1%,65,强烈建议：试错买入,高(超跌+激活)
002194,武汉凡谷,14.08,77.4%,2.79%,65,强烈建议：试错买入,高(超跌+激活)
002235,安妮股份,9.98,79.47%,2.85%,65,强烈建议：试错买入,高(超跌+激活)
