代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
002354,天娱数科,7.46,83.22%,4.85%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603421,鼎信通讯,7.95,81.8%,4.56%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601600,中国铝业,14.6,75.61%,0.71%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
003039,顺控发展,16.28,73.81%,2.61%,65,强烈建议：试错买入,高(超跌+激活)
002455,百川股份,7.93,70.64%,3.06%,65,强烈建议：试错买入,高(超跌+激活)
002780,三夫户外,14.6,76.83%,3.62%,65,强烈建议：试错买入,高(超跌+激活)
002614,奥佳华,7.5,71.26%,4.12%,65,强烈建议：试错买入,高(超跌+激活)
002585,双星新材,7.62,74.44%,4.53%,65,强烈建议：试错买入,高(超跌+激活)
600655,豫园股份,5.82,74.78%,3.09%,65,强烈建议：试错买入,高(超跌+激活)
601366,利群股份,5.04,74.35%,2.85%,65,强烈建议：试错买入,高(超跌+激活)
002187,广百股份,8.18,70.68%,2.04%,65,强烈建议：试错买入,高(超跌+激活)
601012,隆基绿能,18.95,74.05%,2.19%,65,强烈建议：试错买入,高(超跌+激活)
002724,海洋王,7.67,70.89%,2.9%,65,强烈建议：试错买入,高(超跌+激活)
605136,丽人丽妆,12.18,77.79%,4.97%,65,强烈建议：试错买入,高(超跌+激活)
002799,环球印务,9.25,73.34%,3.51%,65,强烈建议：试错买入,高(超跌+激活)
