代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
600858,银座股份,6.96,85.19%,1.14%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002836,新宏泽,15.56,82.59%,1.62%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600662,外服控股,5.68,83.54%,1.77%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600611,大众交通,5.98,98.52%,4.93%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002072,凯瑞德,7.33,83.15%,4.68%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603359,东珠生态,7.9,85.89%,4.66%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002769,普路通,13.75,90.28%,2.33%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002187,广百股份,8.98,81.48%,3.96%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
601700,风范股份,5.88,85.48%,3.46%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002627,三峡旅游,7.73,82.13%,3.24%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002286,保龄宝,9.61,80.62%,4.27%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603023,威帝股份,5.44,92.94%,2.5%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000530,冰山冷热,7.32,75.27%,0.99%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600694,大商股份,19.76,72.94%,2.14%,65,强烈建议：试错买入,高(超跌+激活)
002088,鲁阳节能,11.67,77.16%,4.85%,65,强烈建议：试错买入,高(超跌+激活)
600172,黄河旋风,6.16,79.98%,4.94%,65,强烈建议：试错买入,高(超跌+激活)
600965,福成股份,6.36,71.73%,3.52%,65,强烈建议：试错买入,高(超跌+激活)
000635,英 力 特,9.7,72.12%,4.23%,65,强烈建议：试错买入,高(超跌+激活)
000411,英特集团,13.06,70.24%,2.04%,65,强烈建议：试错买入,高(超跌+激活)
603303,得邦照明,13.85,70.86%,2.71%,65,强烈建议：试错买入,高(超跌+激活)
002103,广博股份,10.1,77.6%,2.83%,65,强烈建议：试错买入,高(超跌+激活)
603332,苏州龙杰,13.44,72.74%,4.81%,65,强烈建议：试错买入,高(超跌+激活)
603708,家家悦,13.14,73.38%,2.12%,65,强烈建议：试错买入,高(超跌+激活)
603617,君禾股份,7.75,76.37%,4.34%,65,强烈建议：试错买入,高(超跌+激活)
002905,金逸影视,11.41,78.68%,4.45%,65,强烈建议：试错买入,高(超跌+激活)
002510,天汽模,7.6,77.64%,3.89%,65,强烈建议：试错买入,高(超跌+激活)
001896,豫能控股,6.38,76.36%,4.79%,65,强烈建议：试错买入,高(超跌+激活)
