代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
002462,嘉事堂,16.07,81.31%,4.7%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002286,保龄宝,9.6,80.65%,2.83%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600784,鲁银投资,7.1,81.97%,4.5%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002546,新联电子,8.26,82.79%,4.39%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600586,金晶科技,5.95,85.4%,4.8%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002072,凯瑞德,7.34,83.13%,3.8%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600858,银座股份,7.07,84.96%,3.39%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600611,大众交通,5.92,98.53%,4.92%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
000890,法尔胜,5.25,80.56%,2.67%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002358,森源电气,6.45,91.08%,4.53%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600172,黄河旋风,6.13,80.08%,3.04%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002187,广百股份,8.24,83.01%,4.42%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002339,积成电子,10.36,81.73%,3.69%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002627,三峡旅游,8.17,81.11%,3.81%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600618,氯碱化工,12.8,91.47%,3.53%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603023,威帝股份,5.92,92.31%,2.16%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600403,大有能源,6.39,83.58%,3.39%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600620,天宸股份,6.94,97.2%,3.51%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600965,福成股份,5.96,73.51%,4.79%,65,强烈建议：试错买入,高(超跌+激活)
600694,大商股份,18.89,74.13%,4.75%,65,强烈建议：试错买入,高(超跌+激活)
600707,彩虹股份,6.72,71.85%,3.52%,65,强烈建议：试错买入,高(超跌+激活)
002836,新宏泽,18.05,79.8%,4.23%,65,强烈建议：试错买入,高(超跌+激活)
002953,日丰股份,13.27,73.51%,4.16%,65,强烈建议：试错买入,高(超跌+激活)
601886,江河集团,8.73,70.2%,4.99%,65,强烈建议：试错买入,高(超跌+激活)
600841,动力新科,6.8,73.88%,2.5%,65,强烈建议：试错买入,高(超跌+激活)
000635,英 力 特,9.76,71.95%,3.88%,65,强烈建议：试错买入,高(超跌+激活)
603617,君禾股份,7.84,76.1%,3.03%,65,强烈建议：试错买入,高(超跌+激活)
002787,华源控股,13.69,77.32%,4.61%,65,强烈建议：试错买入,高(超跌+激活)
002235,安妮股份,10.45,78.5%,2.54%,65,强烈建议：试错买入,高(超跌+激活)
600703,三安光电,15.79,79.76%,4.81%,65,强烈建议：试错买入,高(超跌+激活)
